Success State,Session Length,Player Type,Percentage Robbers Tagged,Times Sped Up,Percentage Diamonds Collected,Times Hidden,Difficulty Evaluation
0,68.6352998400719,1,100.0,0,50.0,3,Easier
1,117.11443114494702,0,100.0,14,92.0,0,Easier
0,57.4905679346935,1,100.0,0,66.0,5,Same
0,32.49429734934917,0,43.0,6,100.0,0,Easier
0,38.09509876445666,1,100.0,0,68.0,14,Easier
1,109.74422004894294,0,100.0,15,81.0,0,Easier
1,112.99899598365643,0,100.0,9,95.0,0,Easier
1,118.76320416098262,1,0.0,0,100.0,14,Same
0,18.722112082846575,0,91.0,2,100.0,0,Same
1,65.11397662563158,1,0.0,0,100.0,8,Harder
1,65.4967555114782,1,0.0,0,100.0,15,Harder
1,133.9453749415988,1,0.0,0,100.0,7,Harder
0,123.68692814142668,0,2.0,7,100.0,0,Easier
1,116.19183797474064,0,100.0,3,52.0,0,Harder
0,82.24780392739237,0,40.0,7,100.0,0,Easier
0,51.639266947949835,1,100.0,0,68.0,3,Same
1,121.50517244847522,1,0.0,0,100.0,7,Harder
1,119.73378066503933,0,100.0,15,71.0,0,Easier
0,173.33877344088245,0,19.0,3,100.0,0,Easier
1,155.18911569942097,0,100.0,0,14.0,0,Harder
0,64.65311959396081,1,100.0,0,76.0,8,Easier
0,25.00684097617243,1,100.0,0,3.0,9,Easier
1,173.3779465547829,1,0.0,0,100.0,14,Same
1,106.61868058666262,0,100.0,7,83.0,0,Easier
0,25.17612547089786,1,100.0,0,11.0,1,Easier
0,174.89155847373016,1,100.0,0,52.0,4,Easier
1,44.16896438679097,0,100.0,14,71.0,0,Same
1,49.96347076105008,1,0.0,0,100.0,1,Harder
1,156.88508210206334,1,0.0,0,100.0,13,Same
0,60.672328494013925,0,50.0,13,100.0,0,Easier
1,78.20769304186152,1,0.0,0,100.0,5,Harder
0,117.07948585980189,0,71.0,5,100.0,0,Easier
0,16.6861183056478,0,32.0,10,100.0,0,Easier
0,31.744333545570413,1,100.0,0,39.0,0,Easier
0,54.73788280128308,0,78.0,10,100.0,0,Easier
1,149.3250004557733,1,0.0,0,100.0,14,Same
1,38.57989820027775,1,0.0,0,100.0,0,Harder
0,3.5632482118843667,0,93.0,7,100.0,0,Easier
1,5.075478027276416,0,100.0,3,63.0,0,Harder
1,179.56453259510215,0,100.0,3,16.0,0,Harder
1,95.17105464973976,0,100.0,15,92.0,0,Easier
1,61.741989458013045,0,100.0,4,99.0,0,Harder
1,110.37457613328462,1,0.0,0,100.0,7,Harder
0,27.039890066733697,1,100.0,0,72.0,5,Same
1,119.09566640508969,1,0.0,0,100.0,10,Same
0,162.15360815862292,1,100.0,0,38.0,4,Easier
1,20.48954458333356,1,0.0,0,100.0,10,Harder
1,94.81037084863921,1,0.0,0,100.0,2,Harder
0,44.202296864571494,1,100.0,0,8.0,2,Easier
1,109.67051201206371,1,0.0,0,100.0,11,Same
0,126.97397199171904,0,40.0,5,100.0,0,Easier
0,113.81518918166007,0,8.0,5,100.0,0,Easier
0,172.8837221594344,0,61.0,2,100.0,0,Easier
1,23.56385802036413,1,0.0,0,100.0,3,Harder
0,71.95331068535582,0,83.0,8,100.0,0,Easier
0,27.772537079505916,1,100.0,0,71.0,15,Easier
1,101.61649045395934,1,0.0,0,100.0,4,Harder
1,126.10945014986616,1,0.0,0,100.0,12,Same
0,25.18409210132131,1,100.0,0,92.0,8,Easier
1,82.89288098134669,0,100.0,8,10.0,0,Harder
0,169.29577608747397,1,100.0,0,60.0,13,Easier
0,80.12977413599077,0,26.0,3,100.0,0,Easier
0,65.30237556542629,0,86.0,13,100.0,0,Easier
1,153.55126668317595,0,100.0,13,52.0,0,Easier
1,157.84289194730096,1,0.0,0,100.0,0,Harder
0,72.02941528600142,0,67.0,11,100.0,0,Easier
1,164.40020505207178,1,0.0,0,100.0,12,Same
1,9.351758584917532,0,100.0,10,52.0,0,Harder
0,133.14726711751922,0,4.0,3,100.0,0,Easier
0,120.44577002719174,0,25.0,1,100.0,0,Easier
1,151.8548707315987,1,0.0,0,100.0,5,Harder
1,133.77497060404286,1,0.0,0,100.0,6,Harder
1,63.12734663487297,1,0.0,0,100.0,11,Harder
0,51.777884697432185,0,87.0,3,100.0,0,Same
1,5.4573124811788105,1,0.0,0,100.0,10,Harder
1,117.37521203638859,1,0.0,0,100.0,12,Same
0,48.03535913893279,0,85.0,0,100.0,0,Same
0,119.88365024681927,0,15.0,1,100.0,0,Easier
1,112.06568790115966,0,100.0,14,69.0,0,Easier
0,104.33580085221855,1,100.0,0,85.0,2,Easier
1,153.68942875506823,1,0.0,0,100.0,8,Harder
0,3.53406469789751,1,100.0,0,10.0,13,Easier
1,87.36556090250035,1,0.0,0,100.0,13,Harder
1,15.958217361836876,0,100.0,13,8.0,0,Harder
0,88.93757409322447,1,100.0,0,5.0,1,Easier
1,80.3769017123882,1,0.0,0,100.0,3,Harder
1,82.935204468314,1,0.0,0,100.0,8,Harder
0,152.96729342297016,1,100.0,0,0.0,4,Easier
0,72.9308179695428,0,26.0,10,100.0,0,Easier
1,165.81482120457775,0,100.0,12,51.0,0,Easier
1,15.048946519294963,1,0.0,0,100.0,3,Harder
0,29.745378259185074,1,100.0,0,15.0,15,Easier
1,127.87924325189702,1,0.0,0,100.0,6,Harder
1,167.0656455282994,0,100.0,1,42.0,0,Harder
0,49.559268670428494,0,72.0,10,100.0,0,Easier
0,96.18723318835627,0,85.0,6,100.0,0,Easier
1,115.56834526679683,1,0.0,0,100.0,10,Same
1,39.47286812368601,1,0.0,0,100.0,0,Harder
0,174.01309044175287,0,8.0,3,100.0,0,Easier
0,170.87823277321775,1,100.0,0,8.0,11,Easier
1,66.6293081512065,1,0.0,0,100.0,4,Harder
1,174.27987707297163,1,0.0,0,100.0,7,Harder
1,99.80293317832064,0,100.0,8,70.0,0,Easier
1,154.83230908024314,1,0.0,0,100.0,6,Harder
1,27.361005766690116,0,100.0,9,73.0,0,Harder
0,62.84310061254984,1,100.0,0,37.0,12,Easier
0,81.46194355494184,1,100.0,0,63.0,4,Easier
1,80.71061881944792,0,100.0,8,38.0,0,Harder
0,103.23463847697194,1,100.0,0,6.0,12,Easier
1,82.34549335938243,1,0.0,0,100.0,12,Harder
1,130.2869235227504,1,0.0,0,100.0,7,Harder
0,144.75777135931628,1,100.0,0,95.0,0,Easier
0,56.05686632647906,1,100.0,0,34.0,13,Easier
1,71.39748729978645,0,100.0,5,82.0,0,Harder
1,75.06042405546515,0,100.0,2,49.0,0,Harder
0,6.971096431843556,0,52.0,11,100.0,0,Easier
0,132.40820539676196,1,100.0,0,10.0,8,Easier
0,173.28066904843192,0,66.0,4,100.0,0,Easier
0,47.01015847948529,0,47.0,5,100.0,0,Easier
1,21.188245303408063,1,0.0,0,100.0,0,Harder
0,40.307614047480094,1,100.0,0,80.0,0,Same
1,147.33320981356198,0,100.0,13,92.0,0,Easier
0,103.35002675998392,1,100.0,0,83.0,13,Easier
1,145.66963910251565,1,0.0,0,100.0,11,Same
0,63.93133999282559,1,100.0,0,37.0,11,Easier
1,72.27642693899769,1,0.0,0,100.0,1,Harder
1,128.93184947929802,1,0.0,0,100.0,12,Same
1,68.36244730262088,0,100.0,0,82.0,0,Harder
0,117.5562632507543,0,37.0,13,100.0,0,Easier
0,56.192084182747635,0,50.0,5,100.0,0,Easier
1,149.60526695026414,1,0.0,0,100.0,12,Same
1,140.2829020189795,0,100.0,12,24.0,0,Same
0,84.30299740662102,1,100.0,0,40.0,1,Easier
0,77.07060141532946,1,100.0,0,28.0,5,Easier
1,50.69602636827871,0,100.0,4,72.0,0,Harder
0,84.31478937475582,1,100.0,0,27.0,6,Easier
0,19.580595352494438,0,70.0,5,100.0,0,Same
0,123.2103214831031,1,100.0,0,46.0,0,Easier
0,21.407102829478266,1,100.0,0,73.0,1,Same
1,120.45682474034061,1,0.0,0,100.0,9,Harder
1,45.593584984693635,1,0.0,0,100.0,12,Harder
0,129.40850294870958,0,32.0,10,100.0,0,Easier
1,136.9163667651296,1,0.0,0,100.0,13,Same
0,113.03290188993348,0,3.0,7,100.0,0,Easier
0,122.10243674587194,1,100.0,0,99.0,9,Easier
0,153.96962481246248,0,41.0,1,100.0,0,Easier
1,15.759812084230425,1,0.0,0,100.0,3,Harder
0,156.845046872365,0,14.0,8,100.0,0,Easier
1,103.28279094933517,0,100.0,0,73.0,0,Same
1,117.07782166001302,1,0.0,0,100.0,9,Harder
0,50.90925853685045,1,100.0,0,78.0,3,Same
0,167.10398721183554,0,91.0,3,100.0,0,Easier
0,18.7769532121972,0,46.0,14,100.0,0,Easier
0,92.57875733447793,1,100.0,0,83.0,2,Easier
1,63.2628824435637,1,0.0,0,100.0,5,Harder
1,130.4417538372097,1,0.0,0,100.0,13,Same
1,69.99302536284164,0,100.0,10,72.0,0,Easier
0,175.76252044913437,0,29.0,4,100.0,0,Easier
1,1.2911941389444248,0,100.0,11,24.0,0,Harder
1,150.8994002848104,0,100.0,2,99.0,0,Same
0,160.1252377654848,0,0.0,4,100.0,0,Easier
1,102.6497144885746,1,0.0,0,100.0,7,Harder
0,109.11893575613789,0,79.0,8,100.0,0,Easier
1,108.48020836487588,0,100.0,15,82.0,0,Easier
0,161.3581179055523,1,100.0,0,13.0,15,Easier
1,50.95363611242878,1,0.0,0,100.0,0,Harder
1,123.63620404338316,1,0.0,0,100.0,2,Harder
0,35.33248069460667,0,73.0,3,100.0,0,Same
1,47.71054168976807,1,0.0,0,100.0,9,Harder
0,41.118117427411164,1,100.0,0,42.0,7,Easier
1,168.61790120974774,0,100.0,7,3.0,0,Harder
1,4.259043608187945,1,0.0,0,100.0,14,Harder
1,178.83971161701703,1,0.0,0,100.0,14,Same
1,165.90516443095393,0,100.0,14,23.0,0,Same
0,2.0188441108351007,0,84.0,14,100.0,0,Easier
0,163.76454901628168,1,100.0,0,70.0,11,Easier
0,120.18806651075622,1,100.0,0,76.0,3,Easier
1,133.056146166364,0,100.0,9,39.0,0,Harder
0,41.50777954432733,0,13.0,4,100.0,0,Easier
1,166.41437940498056,0,100.0,10,86.0,0,Easier
0,139.8236739718376,1,100.0,0,98.0,8,Easier
0,132.96388836521183,0,88.0,14,100.0,0,Easier
1,129.73455016557568,1,0.0,0,100.0,12,Same
1,74.56163064906836,1,0.0,0,100.0,10,Harder
0,84.79519046909469,1,100.0,0,79.0,3,Easier
0,59.19644655242577,0,38.0,3,100.0,0,Easier
0,131.57229728518467,1,100.0,0,24.0,7,Easier
0,122.56179958258565,1,100.0,0,31.0,4,Easier
0,53.89030971298964,0,85.0,2,100.0,0,Same
0,22.84004630981705,0,21.0,10,100.0,0,Easier
0,4.45897069274769,1,100.0,0,99.0,1,Same
1,177.88038329957826,1,0.0,0,100.0,11,Same
1,27.105181537676504,1,0.0,0,100.0,1,Harder
1,126.29716415922276,0,100.0,3,46.0,0,Harder
1,31.615204658929667,1,0.0,0,100.0,7,Harder
1,35.81771642305763,1,0.0,0,100.0,12,Harder
0,139.95444877710133,1,100.0,0,17.0,1,Easier
0,178.30931045585595,0,33.0,11,100.0,0,Easier
1,69.43873930915372,0,100.0,2,41.0,0,Harder
0,101.35927727455079,1,100.0,0,9.0,4,Easier
1,69.83692391998622,1,0.0,0,100.0,12,Harder
1,33.54140820915995,0,100.0,11,40.0,0,Harder
0,4.549827696745048,0,94.0,10,100.0,0,Easier
1,103.04375610780478,1,0.0,0,100.0,9,Harder
0,148.2088314196513,0,98.0,2,100.0,0,Easier
0,27.686513559482762,1,100.0,0,51.0,5,Easier
0,175.32243839461557,1,100.0,0,77.0,11,Easier
0,151.94179131243504,0,57.0,6,100.0,0,Easier
1,13.339941800853621,0,100.0,11,15.0,0,Harder
0,5.713357297048784,1,100.0,0,28.0,0,Easier
1,145.49810750106244,0,100.0,6,29.0,0,Harder
1,61.65233848222906,1,0.0,0,100.0,5,Harder
0,76.24462765798896,0,53.0,12,100.0,0,Easier
0,172.66751882259393,0,15.0,13,100.0,0,Easier
0,167.21930682377493,1,100.0,0,89.0,14,Easier
0,167.98945942972082,0,47.0,10,100.0,0,Easier
1,24.929713256914155,0,100.0,13,12.0,0,Harder
0,129.19188885903196,1,100.0,0,9.0,8,Easier
1,60.61059307625553,1,0.0,0,100.0,5,Harder
0,13.442683528145176,0,1.0,4,100.0,0,Easier
1,49.86319735788318,1,0.0,0,100.0,7,Harder
1,112.2945497648576,1,0.0,0,100.0,9,Harder
0,87.39892177480667,0,95.0,0,100.0,0,Easier
0,71.09631246416028,0,83.0,4,100.0,0,Easier
0,1.3398187293258146,0,25.0,12,100.0,0,Easier
1,126.2388442952157,1,0.0,0,100.0,13,Same
1,56.90332363789385,0,100.0,14,38.0,0,Harder
1,80.74989038977252,1,0.0,0,100.0,13,Harder
1,47.901717489246636,1,0.0,0,100.0,6,Harder
0,93.286027286195,1,100.0,0,91.0,4,Easier
0,114.8636394888566,0,98.0,5,100.0,0,Easier
1,146.37381298080334,1,0.0,0,100.0,8,Harder
0,99.26068549909284,0,88.0,14,100.0,0,Easier
1,66.37095151390012,1,0.0,0,100.0,1,Harder
1,179.39308576262135,0,100.0,1,82.0,0,Same
1,96.57782305182121,1,0.0,0,100.0,11,Same
1,68.33431406524622,0,100.0,2,35.0,0,Harder
0,77.18950512466613,1,100.0,0,30.0,12,Easier
1,75.38925527071669,1,0.0,0,100.0,14,Harder
1,89.84474136859255,1,0.0,0,100.0,12,Harder
1,13.941835338985946,1,0.0,0,100.0,1,Harder
0,161.08016039471053,1,100.0,0,66.0,6,Easier
0,55.63593366862686,1,100.0,0,97.0,14,Easier
1,84.95834554890294,1,0.0,0,100.0,12,Harder
0,92.97320422363568,0,99.0,15,100.0,0,Easier
0,30.23579966542539,0,88.0,12,100.0,0,Easier
0,46.07152496472559,0,19.0,1,100.0,0,Easier
1,134.89924960516268,0,100.0,6,87.0,0,Easier
0,173.32155701048774,1,100.0,0,80.0,8,Easier
0,29.725220843926916,0,23.0,1,100.0,0,Easier
1,26.720045916609642,0,100.0,7,75.0,0,Harder
1,119.54671636982843,1,0.0,0,100.0,15,Same
0,0.507586091471679,1,100.0,0,99.0,9,Easier
0,119.74081527633068,0,29.0,6,100.0,0,Easier
0,45.128201561379846,0,17.0,13,100.0,0,Easier
0,85.64097969720315,0,27.0,9,100.0,0,Easier
0,122.17127261927362,1,100.0,0,63.0,4,Easier
1,70.22066805434613,1,0.0,0,100.0,11,Harder
0,22.5918821560821,0,78.0,0,100.0,0,Same
0,155.4279480580633,0,12.0,7,100.0,0,Easier
1,33.648320257735385,0,100.0,4,18.0,0,Harder
0,102.58825560150383,0,66.0,14,100.0,0,Easier
0,68.50165967220688,1,100.0,0,46.0,11,Easier
1,93.40974432566144,0,100.0,1,43.0,0,Harder
1,179.4842908572058,0,100.0,12,75.0,0,Easier
1,153.29929323199542,0,100.0,13,6.0,0,Same
0,62.82055631894619,0,95.0,2,100.0,0,Easier
1,161.2745342458187,0,100.0,4,39.0,0,Harder
0,157.05520801093155,0,59.0,9,100.0,0,Easier
1,82.68976454966577,1,0.0,0,100.0,13,Harder
1,143.2586183422266,1,0.0,0,100.0,8,Harder
1,151.0584992288802,1,0.0,0,100.0,12,Same
0,177.17443806573465,0,83.0,4,100.0,0,Easier
1,133.7767555388675,0,100.0,15,29.0,0,Same
1,91.01262486955585,1,0.0,0,100.0,15,Same
0,45.58421389500564,0,63.0,9,100.0,0,Easier
0,122.50361891485348,1,100.0,0,47.0,11,Easier
1,152.48515168350568,0,100.0,9,59.0,0,Same
0,1.1164673905719025,0,43.0,2,100.0,0,Easier
0,58.34014905845764,0,28.0,5,100.0,0,Easier
0,27.345392258557442,1,100.0,0,24.0,3,Easier
1,106.28459634113582,0,100.0,6,32.0,0,Harder
0,154.22055950745505,1,100.0,0,86.0,1,Easier
0,30.845176110027094,0,41.0,2,100.0,0,Easier
0,76.39256121246449,1,100.0,0,11.0,9,Easier
0,61.57575755332033,1,100.0,0,32.0,12,Easier
1,139.26299102030603,0,100.0,9,16.0,0,Harder
0,20.257638973398326,0,99.0,2,100.0,0,Same
1,81.88529023273182,1,0.0,0,100.0,10,Harder
0,120.78104867699282,1,100.0,0,87.0,11,Easier
0,32.07049218158725,0,58.0,15,100.0,0,Easier
0,159.1317959954814,0,98.0,11,100.0,0,Easier
1,165.27005949038426,1,0.0,0,100.0,7,Harder
0,51.43401398810392,0,40.0,3,100.0,0,Easier
1,86.78304572673585,1,0.0,0,100.0,5,Harder
0,41.54223448394411,1,100.0,0,83.0,4,Same
1,34.37295136738021,1,0.0,0,100.0,10,Harder
1,70.32979127664214,0,100.0,3,19.0,0,Harder
1,70.80567060927606,1,0.0,0,100.0,4,Harder
0,1.2228892297408933,1,100.0,0,45.0,9,Easier
1,58.22764920804824,0,100.0,15,18.0,0,Harder
1,132.760273479568,0,100.0,3,47.0,0,Harder
0,60.188037838137625,0,64.0,14,100.0,0,Easier
0,13.139018495013385,0,39.0,7,100.0,0,Easier
1,32.43850502648597,0,100.0,5,57.0,0,Harder
1,139.6860875158454,1,0.0,0,100.0,15,Same
1,100.48408528519585,1,0.0,0,100.0,5,Harder
0,95.86598305129141,0,96.0,0,100.0,0,Easier
1,42.18350245755581,0,100.0,14,60.0,0,Same
1,40.370635774017074,0,100.0,12,28.0,0,Harder
0,82.03942265388689,1,100.0,0,93.0,2,Easier
1,128.10122761645357,1,0.0,0,100.0,13,Same
1,106.88275489534595,1,0.0,0,100.0,10,Same
1,99.37004600396283,1,0.0,0,100.0,4,Harder
0,60.14064692448628,0,86.0,1,100.0,0,Easier
1,48.40974378800636,1,0.0,0,100.0,1,Harder
0,29.87644033651437,0,42.0,5,100.0,0,Easier
0,56.61200470700658,1,100.0,0,58.0,3,Easier
0,98.10344442344368,1,100.0,0,29.0,15,Easier
0,135.61670597529871,1,100.0,0,76.0,13,Easier
1,156.30064497348428,0,100.0,12,5.0,0,Same
0,108.0838620360155,0,56.0,10,100.0,0,Easier
1,87.45422545309172,0,100.0,1,34.0,0,Harder
1,28.494783650359924,0,100.0,10,64.0,0,Same
1,87.2530683011328,0,100.0,8,69.0,0,Same
1,111.16956060691946,1,0.0,0,100.0,2,Harder
0,124.51513202693586,1,100.0,0,24.0,13,Easier
1,146.6134692837248,0,100.0,3,38.0,0,Harder
1,63.178400525633386,0,100.0,1,66.0,0,Harder
0,175.9386178960888,0,50.0,2,100.0,0,Easier
1,36.229223131928805,1,0.0,0,100.0,13,Harder
1,104.6841296235987,1,0.0,0,100.0,2,Harder
1,175.69165250331338,1,0.0,0,100.0,14,Same
1,159.06576042699234,1,0.0,0,100.0,3,Harder
1,124.31329142764552,0,100.0,12,91.0,0,Easier
1,63.98291431127626,0,100.0,7,97.0,0,Same
0,17.44665584407773,1,100.0,0,44.0,11,Easier
1,83.159221907858,1,0.0,0,100.0,14,Harder
1,97.5434174794889,1,0.0,0,100.0,11,Same
0,32.15858081309928,1,100.0,0,12.0,15,Easier
1,129.64718473612436,0,100.0,15,34.0,0,Same
0,65.91998060689876,0,80.0,3,100.0,0,Easier
0,5.883576860671862,1,100.0,0,68.0,2,Same
0,115.28852510662841,0,44.0,5,100.0,0,Easier
1,155.46582704025693,0,100.0,13,20.0,0,Same
1,97.63408817934202,0,100.0,9,63.0,0,Easier
1,33.068652283894984,1,0.0,0,100.0,2,Harder
0,102.00138045743488,1,100.0,0,88.0,0,Easier
1,114.1882951227566,1,0.0,0,100.0,4,Harder
1,106.89605653961853,0,100.0,1,25.0,0,Harder
1,138.46949234632226,1,0.0,0,100.0,9,Harder
0,131.79533202806908,0,14.0,13,100.0,0,Easier
1,126.88264935239353,1,0.0,0,100.0,6,Harder
1,55.08805352007098,1,0.0,0,100.0,14,Harder
1,40.20878209950694,1,0.0,0,100.0,13,Harder
1,163.16039611556482,0,100.0,0,0.0,0,Harder
1,100.57380526832343,1,0.0,0,100.0,10,Same
0,34.99092585683785,0,18.0,2,100.0,0,Easier
0,51.52029722166173,0,74.0,13,100.0,0,Easier
0,115.65324693752552,1,100.0,0,45.0,5,Easier
1,144.40209135019276,1,0.0,0,100.0,7,Harder
0,158.7811699882793,0,13.0,2,100.0,0,Easier
0,119.22604703833679,1,100.0,0,97.0,8,Easier
1,164.2176115075336,1,0.0,0,100.0,5,Harder
0,158.9948460415139,1,100.0,0,44.0,11,Easier
0,71.28260651540896,1,100.0,0,94.0,7,Easier
1,167.987596333537,1,0.0,0,100.0,10,Same
1,71.54982775653015,0,100.0,5,75.0,0,Harder
0,130.6409021311199,0,49.0,13,100.0,0,Easier
0,116.22886100010909,0,10.0,10,100.0,0,Easier
0,138.91395881044403,1,100.0,0,75.0,6,Easier
1,77.1654199189985,1,0.0,0,100.0,12,Harder
1,117.13221839456396,1,0.0,0,100.0,10,Same
1,122.8431199255848,0,100.0,14,4.0,0,Same
0,162.23684511045548,0,18.0,7,100.0,0,Easier
0,92.69819244803185,1,100.0,0,52.0,4,Easier
